7:366:355:351 2.840:1.960:1.640
666:365:353:353 2.760:1.800:1.800
1038:365:353:354 2.760:1.800:1.880
1414:363:352:356 2.600:1.720:2.040
1801:364:352:357 2.680:1.720:2.120
2197:364:352:358 2.680:1.720:2.200
2505:361:351:357 2.440:1.640:2.120
2791:364:352:355 2.680:1.720:1.960
3072:365:353:350 2.760:1.800:1.560
3353:366:354:352 2.840:1.880:1.720
3634:362:354:349 2.520:1.880:1.480
3914:368:353:349 3.000:1.800:1.480
4195:380:353:353 3.960:1.800:1.800
4475:365:353:353 2.760:1.800:1.800
4756:366:354:353 2.840:1.880:1.800
5044:365:353:353 2.760:1.800:1.800
5325:365:353:353 2.760:1.800:1.800
5606:365:353:353 2.760:1.800:1.800
5887:365:353:353 2.760:1.800:1.800
6167:365:353:353 2.760:1.800:1.800
6448:365:353:353 2.760:1.800:1.800
6728:365:353:353 2.760:1.800:1.800
7009:365:353:353 2.760:1.800:1.800
7290:365:353:353 2.760:1.800:1.800
7571:365:353:353 2.760:1.800:1.800
7852:365:353:353 2.760:1.800:1.800
8132:365:353:353 2.760:1.800:1.800
8413:365:354:352 2.760:1.880:1.720
8693:363:353:349 2.600:1.800:1.480
8982:367:353:352 2.920:1.800:1.720
9263:364:355:354 2.680:1.960:1.880
9543:361:351:353 2.440:1.640:1.800
9824:367:349:352 2.920:1.480:1.720
10104:366:352:353 2.840:1.720:1.800
10385:365:351:352 2.760:1.640:1.720
10666:365:351:350 2.760:1.640:1.560
10947:364:352:352 2.680:1.720:1.720
11228:366:352:352 2.840:1.720:1.720
11508:364:351:350 2.680:1.640:1.560
11789:364:350:350 2.680:1.560:1.560
12070:368:352:349 3.000:1.720:1.480
12351:363:352:351 2.600:1.720:1.640
12632:365:352:350 2.760:1.720:1.560
12919:366:356:356 2.840:2.040:2.040
13201:366:350:354 2.840:1.560:1.880
13504:365:350:356 2.760:1.560:2.040
13786:363:353:356 2.600:1.800:2.040
14066:365:350:356 2.760:1.560:2.040
14348:365:350:355 2.760:1.560:1.960
14629:366:351:354 2.840:1.640:1.880
14910:365:352:353 2.760:1.720:1.800
15192:366:351:352 2.840:1.640:1.720
15473:364:353:352 2.680:1.800:1.720
15755:366:351:351 2.840:1.640:1.640
16035:366:351:350 2.840:1.640:1.560
16317:364:350:350 2.680:1.560:1.560
16599:365:350:348 2.760:1.560:1.400
16886:365:351:348 2.760:1.640:1.400
17168:365:350:348 2.760:1.560:1.400
17450:363:350:349 2.600:1.560:1.480
17730:364:350:349 2.680:1.560:1.480
18012:365:349:350 2.760:1.480:1.560
18292:366:349:350 2.840:1.480:1.560
18595:365:350:352 2.760:1.560:1.720
18876:363:352:354 2.600:1.720:1.880
19158:364:351:353 2.680:1.640:1.800
19439:363:352:355 2.600:1.720:1.960
19721:364:354:356 2.680:1.880:2.040
20001:365:352:352 2.760:1.720:1.720
20283:364:355:353 2.680:1.960:1.800
20565:355:356:354 1.960:2.040:1.880
20853:365:355:353 2.760:1.960:1.800
21135:366:353:353 2.840:1.800:1.800
21417:368:353:354 3.000:1.800:1.880
21698:366:353:353 2.840:1.800:1.800
