Time XAccel YAccel ZAccel
0.007 2.680 2.760 3.800
0.654 2.520 2.600 3.640
0.928 2.440 2.680 3.640
1.201 2.520 2.600 3.640
1.475 2.520 2.600 3.640
1.748 2.520 2.600 3.640
2.022 2.520 2.600 3.640
2.296 2.520 2.600 3.640
2.569 2.520 2.600 3.640
2.843 2.520 2.600 3.640
3.116 2.520 2.600 3.640
3.390 2.520 2.600 3.640
3.664 2.520 2.680 3.560
3.937 2.040 2.920 3.320
4.211 1.720 3.080 3.080
4.563 1.720 3.160 2.920
4.837 1.560 2.760 2.760
5.111 1.480 2.600 2.680
5.384 0.680 2.680 2.840
5.659 1.480 2.600 2.760
5.932 1.480 2.600 2.680
6.207 1.480 2.440 2.680
6.480 1.480 2.600 2.680
6.753 1.400 2.520 2.600
7.028 1.400 2.520 2.600
7.301 1.480 2.440 2.680
7.576 1.400 2.440 2.680
7.849 1.480 2.440 2.680
8.124 1.400 2.520 2.680
8.474 1.480 2.440 2.680
8.748 1.480 2.520 2.680
9.022 1.400 2.440 2.680
9.296 1.480 2.520 2.680
9.569 1.400 2.440 2.600
9.843 1.400 2.600 2.840
10.117 1.320 2.520 2.520
10.391 1.480 2.520 2.680
10.665 1.480 2.360 2.680
10.939 1.400 2.520 2.600
11.222 1.400 2.520 2.600
11.496 1.480 2.520 2.680
11.770 1.480 2.520 2.600
12.043 1.480 2.440 2.680
12.398 1.480 2.520 2.680
12.671 1.400 2.520 2.600
12.946 1.400 2.360 2.520
13.219 1.480 2.520 2.600
13.493 1.480 2.520 2.600
13.767 1.480 2.440 2.520
14.041 1.480 2.600 2.600
14.315 1.400 2.520 2.840
14.589 1.480 2.600 2.600
14.864 1.480 2.520 2.520
15.137 1.400 2.600 2.520
15.411 1.400 2.520 2.440
15.685 1.480 2.600 2.600
15.959 1.400 2.520 2.440
16.313 1.480 2.600 2.600
16.587 1.400 2.600 2.520
16.871 1.400 2.520 2.520
17.145 1.480 2.520 2.520
17.418 1.480 2.440 2.440
17.693 1.480 2.600 2.680
17.966 1.480 2.600 2.600
18.241 1.480 2.600 2.600
18.514 1.400 2.520 2.520
18.788 1.480 2.600 2.520
19.062 1.400 2.520 2.520
19.335 1.480 2.600 2.600
19.610 1.480 2.600 2.600
19.883 1.480 2.600 2.600
20.232 1.480 2.600 2.600
20.506 1.480 2.600 2.520
20.780 1.480 2.600 2.600
21.054 1.480 2.680 2.600
21.328 1.480 2.600 2.680
21.601 1.480 2.600 2.600
21.876 1.480 2.600 2.520
22.149 1.480 2.600 2.680
22.423 1.480 2.760 2.680
22.697 1.400 2.600 2.520
22.971 1.480 2.680 2.680
23.245 1.480 2.840 2.680
23.518 1.480 2.680 2.600
23.793 1.480 2.440 2.760
24.158 1.480 2.600 2.760
24.432 1.400 2.520 2.520
24.706 1.480 2.840 2.680
24.980 1.480 2.680 2.680
25.254 1.480 2.520 2.600
25.528 1.480 2.680 2.680
25.802 1.480 2.760 2.680
26.075 1.480 2.760 2.680
26.350 1.480 2.760 2.760
26.623 1.560 2.920 2.680
26.897 1.480 2.680 2.760
27.171 1.560 2.680 2.840
27.444 1.480 2.760 2.680
27.801 1.400 2.760 2.760
28.074 1.480 2.760 2.760
28.348 1.480 2.760 2.600
28.622 1.480 2.600 2.680
28.895 1.480 2.680 2.680
29.170 1.480 2.680 2.680
29.443 1.480 2.680 2.680
29.718 1.480 2.680 2.680
29.991 1.480 2.600 2.680
30.266 1.480 2.520 2.600
30.539 1.480 2.520 2.760
30.813 1.480 2.600 2.760
31.087 1.480 2.600 2.760
31.361 1.480 2.680 2.760
31.716 1.480 2.440 2.680
31.989 1.480 2.600 2.680
32.263 1.480 2.520 2.760
32.537 1.480 2.600 2.760
32.811 1.480 2.760 2.680
33.085 1.480 2.600 2.760
33.369 1.480 2.680 2.680
33.643 1.480 2.680 2.680
33.917 1.480 2.680 2.680
34.191 1.480 2.680 2.760
34.473 1.480 2.600 2.680
34.748 1.480 2.600 2.680
35.021 1.480 2.600 2.680
35.294 1.480 2.600 2.680
35.652 1.480 2.680 2.680
35.925 1.480 2.600 2.680
36.199 1.480 2.680 2.680
36.473 1.480 2.600 2.680
36.746 1.480 2.600 2.680
37.021 1.480 2.680 2.680
37.294 1.480 2.600 2.680
37.568 1.480 2.600 2.680
37.842 1.480 2.600 2.680
38.116 1.480 2.600 2.680
38.390 1.480 2.600 2.680
38.663 1.480 2.600 2.680
38.937 1.480 2.600 2.680
39.211 1.480 2.600 2.680
39.567 1.480 2.600 2.680
39.840 1.480 2.680 2.680
40.113 1.480 2.600 2.680
40.388 1.480 2.600 2.680
40.661 1.480 2.600 2.680
40.936 1.480 2.600 2.680
41.209 1.480 2.600 2.680
41.482 1.480 2.600 2.680
41.757 1.480 2.680 2.680
42.030 1.480 2.600 2.680
42.305 1.480 2.600 2.680
42.578 1.480 2.600 2.680
42.853 1.480 2.680 2.680
43.126 1.400 2.680 2.680
43.407 1.560 2.680 2.680
43.680 1.480 2.600 2.680
43.954 1.480 2.600 2.680
44.228 1.480 2.680 2.680
44.502 1.480 2.600 2.680
44.776 1.480 2.680 2.680
45.049 1.480 2.600 2.680
45.323 1.480 2.600 2.680
45.597 1.480 2.600 2.680
45.871 1.480 2.600 2.680
46.145 1.480 2.600 2.680
46.427 1.480 2.600 2.680
46.702 1.480 2.680 2.680
46.975 1.480 2.600 2.680
47.256 1.480 2.600 2.680
47.529 1.480 2.600 2.680
47.804 1.480 2.600 2.680
48.077 1.480 2.680 2.680
48.351 1.480 2.600 2.680
48.625 1.480 2.680 2.680
48.898 1.480 2.600 2.680
49.173 1.480 2.600 2.680
49.456 1.480 2.680 2.680
49.731 1.480 2.600 2.680
50.004 1.480 2.680 2.680
50.278 1.480 2.600 2.680
50.552 1.480 2.680 2.680
50.833 1.480 2.680 2.680
51.106 1.480 2.680 2.680
51.379 1.480 2.680 2.680
51.654 1.480 2.600 2.600
51.927 1.480 2.600 2.680
52.201 1.480 2.680 2.680
52.475 1.480 2.600 2.760
52.748 1.480 2.520 2.760
53.023 1.400 2.600 2.760
53.296 1.480 2.600 2.760
53.570 1.480 2.600 2.760
53.844 1.480 2.520 2.760
54.118 1.480 2.600 2.760
54.391 1.480 2.440 2.680
54.672 1.480 2.520 2.680
54.946 1.640 2.440 2.680
55.219 1.480 2.520 2.680
55.493 1.560 2.600 2.760
55.767 1.560 2.840 2.760
56.041 1.400 2.600 2.680
56.315 1.320 1.960 2.280
56.588 1.480 2.360 2.680
56.862 1.480 2.600 2.600
57.136 1.480 2.680 2.680
57.410 1.480 2.600 2.680
57.684 1.480 2.600 2.680
57.958 1.480 2.600 2.680
58.231 1.480 2.600 2.680
58.512 1.480 2.600 2.600
58.786 1.480 2.600 2.680
59.059 1.480 2.600 2.680
59.333 1.480 2.600 2.680
59.607 1.480 2.600 2.680
59.881 1.480 2.600 2.680
60.155 1.480 2.600 2.680
60.428 1.480 2.600 2.680
60.702 1.480 2.600 2.680
60.976 1.480 2.600 2.680
61.250 1.480 2.600 2.680
61.523 1.480 2.600 2.680
61.798 1.480 2.600 2.680
62.071 1.480 2.600 2.680
62.352 1.480 2.600 2.680
62.626 1.480 2.600 2.680
62.899 1.480 2.600 2.680
63.173 1.480 2.600 2.680
63.447 1.480 2.600 2.680
63.721 1.480 2.600 2.680
63.994 1.480 2.600 2.680
64.268 1.480 2.600 2.680
64.542 1.480 2.600 2.680
64.816 1.480 2.600 2.680
65.090 1.480 2.600 2.680
65.363 1.480 2.600 2.680
65.648 1.480 2.600 2.680
65.921 1.480 2.600 2.680
66.202 1.480 2.600 2.680
66.475 1.480 2.600 2.680
66.750 1.480 2.600 2.680
67.023 1.480 2.600 2.680
67.297 1.480 2.600 2.680
67.571 1.480 2.600 2.680
67.844 1.480 2.600 2.680
68.119 1.480 2.600 2.680
68.392 1.480 2.600 2.680
68.666 1.480 2.600 2.680
68.940 1.480 2.600 2.680
69.223 1.480 2.600 2.680
69.496 1.480 2.600 2.680
69.770 1.480 2.600 2.680
70.051 1.480 2.600 2.680
70.324 1.480 2.600 2.680
70.598 1.480 2.600 2.680
70.872 1.480 2.600 2.680
71.146 1.480 2.600 2.680
71.419 1.480 2.600 2.680
71.694 1.480 2.600 2.680
71.967 1.480 2.600 2.680
72.241 1.480 2.600 2.680
72.515 1.480 2.600 2.680
72.788 1.480 2.600 2.680
73.063 1.480 2.600 2.680
73.336 1.480 2.600 2.680
73.609 1.480 2.600 2.680
73.884 1.480 2.600 2.680
74.157 1.480 2.600 2.680
74.432 1.480 2.600 2.680
74.705 1.480 2.600 2.680
74.979 1.480 2.600 2.680
75.253 1.480 2.600 2.680
75.526 1.480 2.600 2.680
75.800 1.480 2.600 2.680
76.074 1.480 2.600 2.680
76.348 1.480 2.600 2.680
76.622 1.480 2.600 2.680
76.895 1.480 2.600 2.680
77.169 1.480 2.600 2.680
77.449 1.480 2.600 2.680
77.724 1.480 2.600 2.680
77.997 1.480 2.600 2.680
78.271 1.480 2.600 2.680
78.545 1.480 2.600 2.680
78.819 1.480 2.600 2.680
79.093 1.480 2.600 2.680
79.366 1.480 2.600 2.680
79.640 1.480 2.600 2.680
79.914 1.480 2.600 2.680
80.188 1.480 2.600 2.680
80.461 1.480 2.600 2.680
80.735 1.480 2.600 2.680
81.018 1.480 2.600 2.680
81.299 1.480 2.600 2.680
81.582 1.480 2.600 2.680
81.856 1.480 2.600 2.680
82.130 1.480 2.600 2.680
82.404 1.480 2.600 2.680
82.677 1.480 2.600 2.680
82.951 1.480 2.600 2.680
83.225 1.480 2.600 2.680
83.498 1.480 2.600 2.680
83.773 1.480 2.600 2.680
84.046 1.480 2.600 2.680
84.319 1.480 2.600 2.680
84.594 1.480 2.600 2.680
84.867 1.480 2.600 2.680
85.148 1.480 2.600 2.680
85.421 1.480 2.600 2.680
85.695 1.480 2.600 2.680
85.969 1.480 2.600 2.680
86.243 1.480 2.600 2.680
86.516 1.480 2.600 2.680
86.790 1.480 2.600 2.680
87.064 1.480 2.600 2.680
87.337 1.480 2.600 2.680
87.612 1.480 2.600 2.680
87.885 1.480 2.520 2.760
88.159 1.560 2.760 2.760
88.433 1.400 2.760 2.840
88.706 1.480 2.520 2.680
88.987 1.480 2.840 2.680
89.260 1.480 2.520 2.680
89.535 1.480 2.600 2.760
89.808 1.480 2.600 2.680
90.081 1.160 2.920 2.760
90.356 1.480 3.320 3.320
90.629 2.280 2.760 3.000
90.904 2.040 2.520 3.480
91.177 1.880 2.600 3.400
91.451 1.800 2.280 3.320
91.725 2.040 2.280 3.080
91.998 1.160 2.920 2.680
92.272 1.880 3.400 2.280
92.546 2.040 3.400 2.280
92.827 1.880 3.480 2.520
93.100 2.040 3.320 2.360
93.374 1.960 3.320 2.440
93.648 1.880 3.160 2.280
93.921 1.960 3.080 1.880
94.195 1.960 3.240 1.960
94.469 1.880 3.080 1.880
94.743 1.960 3.160 1.960
95.016 1.960 3.160 2.200
95.290 1.960 3.320 2.360
95.564 1.960 3.400 2.680
95.837 1.960 3.240 2.840
96.111 2.120 3.240 2.920
96.385 1.960 3.400 3.000
96.666 1.800 3.240 2.680
96.939 1.960 3.560 2.920
97.213 1.400 3.080 2.600
97.486 2.120 3.000 3.000
97.771 2.120 2.680 3.320
98.044 2.040 3.000 3.480
98.318 1.960 2.760 3.320
98.592 1.960 2.840 3.480
98.865 1.960 2.520 3.480
99.139 2.040 2.760 3.560
99.413 1.960 2.600 3.480
99.687 1.960 2.600 3.560
99.960 1.960 2.680 3.400
100.241 1.880 2.680 3.400
100.515 1.880 2.760 3.400
100.788 1.880 2.680 3.400
101.062 1.800 2.840 3.320
101.336 1.720 2.680 3.240
101.610 1.720 2.680 3.320
101.884 1.720 2.840 3.320
102.158 1.800 2.920 3.240
102.431 1.800 3.000 3.240
102.705 1.880 2.600 3.400
102.979 1.720 2.840 3.160
103.253 1.960 2.760 3.800
103.527 1.960 2.680 3.480
103.801 2.040 2.440 3.480
104.091 1.800 3.000 3.400
104.364 1.960 3.080 3.320
104.638 2.040 3.640 3.000
104.912 1.720 3.480 2.680
105.185 2.200 3.240 3.320
105.459 2.120 3.560 2.760
105.733 1.880 3.320 2.600
106.007 2.040 3.240 2.520
106.281 2.040 2.920 2.600
106.555 2.040 3.560 2.680
106.829 2.040 3.480 2.440
107.102 2.040 3.400 2.440
107.377 1.960 3.560 2.520
107.657 2.040 3.480 2.840
107.931 1.960 3.640 2.840
108.205 2.120 3.480 2.440
108.479 2.200 3.560 2.280
108.752 2.120 3.480 2.520
109.027 2.120 3.560 2.760
109.300 2.040 3.480 2.760
109.574 2.120 3.560 2.680
109.848 1.880 3.560 2.600
110.122 2.040 3.320 2.600
110.396 1.880 3.400 2.600
110.670 1.880 3.320 3.000
110.943 1.960 3.240 2.840
111.217 2.040 3.320 2.680
111.497 2.120 3.560 2.600
111.772 1.880 3.400 2.520
112.045 2.120 3.480 2.760
112.320 2.040 3.400 3.080
112.593 1.960 3.400 2.920
112.868 2.200 3.640 2.760
113.141 2.280 3.480 2.840
113.415 2.120 3.160 2.920
113.699 2.360 3.400 3.320
113.973 2.280 3.160 3.160
114.247 2.120 3.400 2.920
114.520 2.200 3.400 3.240
114.795 2.280 3.400 3.240
115.075 2.200 3.480 3.000
115.349 2.200 3.400 3.160
115.631 2.200 3.400 3.160
115.906 2.200 3.240 3.320
116.179 2.120 3.480 3.160
116.453 2.200 3.320 3.160
116.727 2.120 3.320 3.000
117.000 2.040 3.240 3.240
117.275 1.880 3.320 3.320
117.548 2.040 2.840 3.320
117.822 1.880 2.520 3.400
118.096 1.880 2.440 3.480
118.369 1.960 2.440 3.400
118.644 1.800 2.520 3.400
118.923 1.800 2.600 3.320
119.198 1.800 2.680 3.320
119.471 1.480 2.280 2.760
119.745 1.480 2.760 3.000
120.019 1.640 2.680 3.000
120.293 1.480 2.840 2.920
120.567 1.800 2.840 3.080
120.840 1.640 2.840 3.080
121.114 1.480 3.240 3.000
121.388 1.720 2.760 2.920
121.662 1.560 2.840 2.920
121.936 1.400 2.760 3.000
122.209 1.720 2.760 2.600
122.487 1.800 3.080 3.160
122.761 1.800 2.920 3.160
123.035 1.480 2.920 3.160
123.308 1.560 2.920 3.000
123.583 1.640 2.840 2.840
123.856 1.720 2.760 2.760
124.129 1.640 2.680 2.840
124.404 1.800 2.680 2.600
124.677 1.160 3.640 3.000
124.952 1.960 3.400 2.520
125.225 1.880 3.480 2.600
125.499 1.880 3.240 2.600
125.773 1.880 3.400 2.600
126.046 1.800 3.240 2.760
126.327 1.800 3.320 2.680
126.601 1.960 3.320 2.840
126.875 1.960 3.400 2.760
127.149 1.960 3.480 2.840
127.423 1.880 3.480 2.760
127.697 1.880 3.400 2.840
127.972 1.880 3.320 2.680
128.245 1.880 3.240 2.600
128.519 1.880 3.320 2.760
128.794 1.880 3.400 2.680
129.067 1.480 3.400 2.440
129.342 1.880 3.480 2.920
129.615 1.960 3.400 2.600
129.907 1.960 3.560 2.680
130.180 2.040 3.400 2.760
130.455 1.880 3.880 2.680
130.728 2.040 3.480 2.520
131.003 1.960 3.720 2.440
131.276 2.040 3.480 2.600
131.550 2.120 3.400 2.520
131.824 1.960 3.480 2.680
132.098 2.200 3.400 2.600
132.373 2.120 3.480 2.600
132.646 1.960 3.480 2.600
132.921 1.960 3.400 2.680
133.194 1.880 3.560 2.760
133.468 1.960 3.560 2.760
133.749 1.960 3.720 2.840
134.023 2.120 3.480 2.680
134.297 2.120 3.320 2.920
134.571 2.040 3.480 2.920
134.845 2.120 3.560 2.840
135.119 2.200 3.480 3.080
135.393 2.200 3.320 3.080
135.667 2.120 3.480 3.080
135.941 2.200 3.400 3.320
136.215 2.200 3.240 3.400
136.489 2.200 3.320 3.400
136.763 2.200 3.000 3.480
137.037 2.120 3.000 3.480
137.318 2.280 2.920 3.480
137.591 2.120 2.920 3.560
137.865 2.040 2.840 3.480
138.140 1.880 2.760 3.400
138.413 1.800 2.760 3.560
138.696 1.960 2.600 3.480
138.970 1.960 2.600 3.400
139.245 1.880 2.600 3.400
139.518 2.200 2.360 3.640
139.793 2.120 2.520 3.560
140.066 2.040 2.520 3.640
140.340 2.120 2.600 3.720
140.614 2.200 2.600 3.640
140.888 2.200 2.680 3.640
141.169 1.960 2.440 3.320
141.442 2.120 2.440 3.640
141.717 1.800 2.360 3.400
141.990 1.960 2.440 3.720
142.265 2.040 2.680 3.560
142.538 2.280 2.840 3.560
142.812 2.040 2.760 3.560
143.087 2.040 2.520 3.480
143.360 2.040 2.920 3.480
143.635 2.040 2.680 3.560
143.908 2.120 2.760 3.560
144.182 1.960 2.680 3.560
144.457 1.880 2.760 3.400
144.737 1.960 2.840 3.480
145.011 2.120 2.680 3.560
145.285 2.040 2.760 3.480
145.559 2.040 2.680 3.560
145.843 2.040 2.680 3.560
146.118 1.880 2.760 3.400
146.391 1.960 2.600 3.480
146.666 1.960 2.600 3.480
146.939 1.880 2.520 3.480
147.214 1.960 2.440 3.480
147.487 1.880 2.520 3.480
147.761 1.880 2.600 3.480
148.035 1.880 2.680 3.480
148.309 1.880 2.760 3.400
148.590 1.960 2.760 3.480
148.863 2.040 2.840 3.560
149.138 1.960 2.680 3.480
149.411 1.960 2.680 3.400
149.685 2.280 2.680 3.640
149.960 2.200 2.680 3.560
150.243 2.120 2.440 3.640
150.516 2.040 2.440 3.480
150.790 1.960 2.280 3.560
151.064 1.880 2.360 3.400
151.338 1.800 2.360 3.400
151.613 1.880 2.360 3.240
151.886 1.880 2.200 3.320
152.167 1.960 2.280 3.480
152.441 2.040 2.200 3.480
152.714 1.960 2.280 3.400
152.989 1.960 2.200 3.480
153.262 2.040 2.200 3.480
153.537 2.040 2.280 3.480
153.810 1.960 2.360 3.560
154.085 1.880 2.200 3.400
154.358 1.880 2.280 3.400
154.632 1.880 2.280 3.400
154.906 1.880 2.280 3.320
155.180 2.040 2.120 3.320
155.454 2.040 2.200 3.320
155.734 1.960 2.120 3.400
156.009 1.960 2.200 3.400
156.282 2.040 2.040 3.320
156.556 2.040 1.960 3.400
156.830 2.040 2.040 3.400
157.104 2.040 1.960 3.400
157.378 2.120 1.960 3.400
157.652 2.120 2.200 3.480
157.926 2.040 2.120 3.480
158.200 1.800 2.120 3.400
158.473 1.880 2.120 3.400
158.748 1.880 2.280 3.400
159.021 1.880 2.280 3.400
159.296 1.880 2.280 3.320
159.576 1.800 2.280 3.400
159.850 1.800 2.280 3.400
160.124 1.800 2.120 3.400
160.399 1.880 2.120 3.480
160.672 1.880 2.200 3.400
160.946 2.040 2.200 3.240
161.220 1.960 2.200 3.480
161.494 2.040 2.280 3.480
161.768 1.960 2.280 3.480
162.052 2.040 2.120 3.480
162.326 2.040 2.040 3.400
162.600 2.120 1.960 3.400
162.875 1.960 2.120 3.400
163.155 1.960 2.280 3.560
163.429 1.960 2.280 3.480
163.703 2.120 2.120 3.480
163.976 1.960 2.280 3.640
164.251 2.040 2.120 3.480
164.524 2.040 2.200 3.480
164.799 1.640 2.840 3.640
165.072 1.800 2.920 2.840
165.347 1.640 3.000 2.840
165.620 1.640 3.000 2.840
165.894 1.720 3.080 3.000
166.168 1.720 3.000 3.000
166.442 1.720 3.080 3.000
166.716 1.720 3.000 3.000
166.996 1.880 2.680 3.240
167.271 1.960 2.040 3.560
167.544 2.040 2.440 3.480
167.818 2.040 2.360 3.480
168.092 1.960 2.280 3.400
168.366 2.040 2.600 3.640
168.640 1.960 2.200 3.480
168.914 1.960 2.360 3.480
169.188 1.960 2.360 3.400
169.462 1.960 2.280 3.480
169.735 1.960 2.280 3.400
170.010 2.120 1.960 3.320
170.283 1.960 1.800 3.080
170.564 2.040 1.720 3.160
170.838 1.960 1.800 3.240
171.112 1.960 1.960 3.240
171.386 1.960 1.960 3.400
171.659 1.960 1.800 3.000
171.934 2.040 1.800 3.160
172.207 1.960 1.880 3.160
172.482 1.880 2.040 3.320
172.755 1.880 2.200 3.240
173.030 2.040 1.560 2.920
173.312 2.120 1.560 2.760
173.586 2.040 1.560 2.840
173.860 1.960 1.640 3.000
174.133 2.040 1.720 3.160
174.414 1.880 1.880 3.000
174.688 2.040 1.800 3.320
174.962 1.880 1.960 3.080
175.236 1.960 1.880 3.320
175.510 2.040 2.040 3.400
175.784 1.960 2.040 3.320
176.058 1.880 1.800 3.080
176.332 1.960 1.640 3.080
176.605 2.040 1.640 3.160
176.880 2.040 1.560 2.920
177.153 2.120 1.560 2.920
177.428 2.120 1.640 2.920
177.701 2.040 1.640 2.920
177.992 2.120 1.560 2.920
178.266 1.960 1.720 3.000
178.540 1.880 2.040 3.240
178.814 1.880 1.960 3.160
179.088 1.880 2.040 3.160
179.362 2.040 1.720 3.320
179.635 1.720 2.200 3.240
179.910 1.960 2.040 3.240
180.183 1.880 2.360 3.240
180.458 1.800 2.360 3.320
180.731 1.880 2.200 3.400
181.006 1.880 2.360 3.400
181.279 1.800 2.280 3.240
181.553 1.640 2.120 3.400
181.834 1.800 2.120 3.240
182.107 1.880 2.040 3.240
182.382 1.880 2.040 3.160
182.655 1.800 2.200 3.160
182.930 1.720 1.960 2.920
183.203 1.640 1.800 2.920
183.476 1.800 1.880 3.000
183.751 1.720 1.960 2.920
184.024 1.720 1.880 2.920
184.299 1.800 1.880 3.000
184.572 1.800 1.800 2.920
184.856 1.800 1.960 2.920
185.129 1.720 1.800 2.840
185.410 1.640 1.960 2.920
185.683 1.640 1.880 2.840
185.958 1.720 1.880 2.920
186.231 1.800 2.040 2.920
186.505 1.720 1.800 2.920
186.779 1.720 1.880 3.000
187.053 1.720 2.040 3.000
187.327 1.720 1.880 2.920
187.601 1.720 1.880 2.920
187.875 1.720 1.880 2.840
188.149 1.720 1.960 2.840
188.422 1.800 1.960 2.680
188.696 1.720 1.960 2.760
188.970 1.560 1.880 2.680
189.251 1.720 2.040 2.760
189.524 1.800 1.960 2.840
189.799 1.720 2.040 3.000
190.072 1.720 1.800 2.760
190.346 1.880 1.720 2.680
190.620 1.800 1.960 2.840
190.894 1.720 2.040 2.840
191.168 1.720 1.960 2.840
191.442 1.640 2.040 2.680
